P_ID,TIMESTAMP,NDVI,EVI,IRECI
40271215,2020-07-04,0.8993711,0.5921102,1.2368659
40271215,2020-07-09,0.8750762,0.5679481,1.243463
40271215,2020-07-14,0.8526463,0.667994,1.1165468
40271215,2020-07-19,0.863929,0.59760034,1.1986094
40271215,2020-07-29,0.8456002,0.5367747,1.139516
40271215,2020-08-08,0.8394057,0.5134363,1.0219083
40271215,2020-08-13,0.76555157,0.5946144,0.8571938
40271215,2020-09-12,0.8177523,0.5002891,0.68051624
40271215,2020-09-17,0.77556115,0.4474391,0.6470429
40271215,2020-11-06,0.5712,0.08487874,0.10349216
40271215,2020-11-21,0.6233612,0.1145774,0.07837896
40271215,2020-11-26,0.51702785,0.08123753,0.094434924
40271215,2021-02-24,0.38058802,0.19491771,0.1293334
40271215,2021-03-01,0.5332409,0.16157459,0.09884536
40271215,2021-03-26,0.48962653,0.15912259,0.12589206
40271215,2021-03-31,0.5055209,0.22069918,0.13265602
40271215,2021-04-05,0.52214366,0.28946936,0.15232342
40271215,2021-04-10,0.45476052,0.30318567,0.15676473
40271215,2021-04-25,0.5247678,0.2709507,0.16565831
40271215,2021-05-10,0.7569944,0.54811704,0.54069585
40271215,2021-06-04,0.7832783,0.5828422,0.8492562
40271215,2021-06-09,0.859747,0.85097766,1.3966312
40271215,2021-06-14,0.8971924,0.79763615,1.5395582
40271215,2021-06-19,0.830694,0.7701649,1.4091287
40271215,2021-06-24,0.80206,0.6931919,1.2975572
40271215,2021-06-29,0.8525424,0.7251757,1.4659367
40271215,2021-07-09,0.8876228,0.82400143,1.5383255
40271215,2021-07-14,0.85620916,0.828393,1.5204253
40271215,2021-07-19,0.8580673,0.73065895,1.4138807
40271215,2021-07-29,0.882404,0.75292516,1.3125905
40271215,2021-08-03,0.8138453,0.8695202,1.4507475
40271215,2021-08-18,0.8801499,0.7196448,1.1635965
40271215,2021-09-02,0.8832536,0.56098056,1.072909
40271215,2021-09-07,0.86365837,0.65806496,1.063605
40271215,2021-09-12,0.8447824,0.65004236,0.8705022
40271215,2021-10-17,0.77046096,0.460233,0.39440003
40271215,2021-10-27,0.6227723,0.25481063,0.1600505
40271215,2021-11-11,0.42897198,0.19293821,0.13749275
40274709,2017-04-21,0.71400493,0.29665172,0.18492661
40274709,2017-05-21,0.9138462,0.57935804,0.9261534
40274709,2017-05-31,0.8832645,0.5936675,1.125833
40274709,2017-06-10,0.93008596,0.6232719,1.3694686
40274709,2017-06-20,0.88527304,0.6390094,1.1858695
40274709,2017-07-05,0.8470587,0.57370514,0.9053071
40274709,2017-07-15,0.41548532,0.2857036,0.48035806
40274709,2017-07-20,0.8539839,0.47292304,0.98156124
40274709,2017-07-25,0.9234973,0.42458758,0.82262975
40274709,2017-08-04,0.83747023,0.5157683,0.81318927
40274709,2017-08-09,0.7993099,0.5439036,0.62824684
40274709,2017-08-24,0.84333545,0.30045912,0.48564422
40274709,2017-08-29,0.8454405,0.45906594,0.77861583
40274709,2017-09-28,0.83038443,0.28867772,0.34404564
40274709,2017-10-08,0.4154806,0.41820395,0.3759201
40274709,2017-10-18,0.7103064,0.12551683,0.07667981
40274709,2018-04-06,0.61698836,0.18188025,0.101033896
40274709,2018-04-21,0.66008466,0.21695797,0.20905446
40274709,2018-05-21,0.80268407,0.48490295,0.6922042
40274709,2018-05-26,0.8104496,0.7637113,1.2854005
40274709,2018-05-31,0.82166743,0.6698895,1.1118387
40274709,2018-06-10,0.86303854,0.69490594,1.3139664
40274709,2018-06-15,0.88095826,0.6386064,1.3980054
40274709,2018-06-20,0.8757871,0.5815721,1.2310302
40274709,2018-06-30,0.7502435,0.61075664,0.9235533
